Full Text,Translated Text,Sentiment Score,Sentiment
"क़भी चुपके से मुस्कुरा कर देखना, दिल पर लगे पहरे हटा कर देख़ना, ये ज़िन्दग़ी तेरी खिलखिला उठेगी, ख़ुद पर कुछ लम्हें… https://t.co/KnqsKPSrBI क़भी चुपके से मुस्कुरा कर देखना, दिल पर लगे पहरे हटा कर देख़ना, ये ज़िन्दग़ी तेरी खिलखिला उठेगी, ख़ुद पर कुछ लम्हें लुटा कर देखना। @ My Silchar https://t.co/mHcil3NUF5",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  15 HOURS 55 MINUTES 03 SECONDSVISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0.34,Positive
Something I truly love being out with the camera taking photos and watching this beautiful world go by it's day. 1… https://t.co/o0r1HsUpin Something I truly love being out with the camera taking photos and watching this beautiful world go by it's day. 14.11.2021 | 15:59hrs #Canon @ District Sports Association Ground https://t.co/HdOuyq01Qe,Something I truly love being out with the camera taking photos and watching this beautiful world go by it's day. 1… https://t.co/o0r1HsUpin Something I truly love being out with the camera taking photos and watching this beautiful world go by it's day. 14.11.2021 | 15:59hrs #Canon @ District Sports Association Ground https://t.co/HdOuyq01Qe,0.675,Very Positive
4BHK House/Villa in #Ambicapatty #4Bedroom #IndependentHouse #ForSale #Silchar #Residential #Property https://t.co/ioECLrUYEU,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  15 HOURS 55 MINUTES 02 SECONDSVISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0.34,Positive
"#Apartment in Anupama, #Silchar #2BHK #Flat #ForRent #Ambicapatty #Residential #Property https://t.co/1yLLY437tz",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  15 HOURS 55 MINUTES 02 SECONDSVISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0.34,Positive
Just posted a photo @ My Silchar https://t.co/4FchY4LoAm,Just posted a photo @ My Silchar https://t.co/4FchY4LoAm,0.0,Neutral
Just posted a video @ Silchar https://t.co/nuc7qRGQ6H,Just posted a video @ Silchar https://t.co/nuc7qRGQ6H,0.0,Neutral
Just posted a photo @ My Silchar https://t.co/1oin5WeBtR,Just posted a photo @ My Silchar https://t.co/1oin5WeBtR,0.0,Neutral
red heart red heart Subho smiling face with hearts smiling face with hearts  Bijoya face blowing a kiss face blowing a kiss  Dashamiwilted flower wilted flower ...... pleading face pleading face  @ My Silchar https://t.co/MuwqomyB9B,'IN' IS AN INVALID SOURCE LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,0.0,Neutral
Just posted a video @ Silchar https://t.co/ycqhF0B9Kc,Just posted a video @ Silchar https://t.co/ycqhF0B9Kc,0.0,Neutral
Durga Puja Diary! @ Silchar https://t.co/CCm7tbY73v,'IN' IS AN INVALID SOURCE LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,0.0,Neutral
Just posted a video @ Silchar https://t.co/OdNWVKuNqb,Just posted a video @ Silchar https://t.co/OdNWVKuNqb,0.0,Neutral
শুভ বিজয়া folded hands medium light skin tone  #DurgaPuja #ShubhoBijoya @ Silchar https://t.co/u0pBztxwxe,'UND' IS AN INVALID SOURCE LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,0.0,Neutral
My wife red heart  @ Silchar https://t.co/6xGtqZi86q,My wife red heart  @ Silchar https://t.co/6xGtqZi86q,0.0,Neutral
Dj face with tears of joy face with tears of joy face with tears of joy  @ Pailapool https://t.co/En1vohkbBZ,Dj face with tears of joy face with tears of joy face with tears of joy  @ Pailapool https://t.co/En1vohkbBZ,0.8000000000000002,Very Positive
"rolling on the floor laughing WAHH BETE grinning face with sweat sign of the horns face with tears of joy .#asifsquaddizzy  #moj #mojindia. @mojindia @ Assam, India https://t.co/yV4YYzpUs4",'IN' IS AN INVALID SOURCE LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,0.0,Neutral
Just posted a photo @ Silchar https://t.co/iu45dOk0VL,Just posted a photo @ Silchar https://t.co/iu45dOk0VL,0.0,Neutral
Just posted a photo @ Silchar https://t.co/rrg5YWWmLJ,Just posted a photo @ Silchar https://t.co/rrg5YWWmLJ,0.0,Neutral
#morningvibes #instafashion #instagram #foryou juSt a cHill cLick GuYs.....smiling face with heart eyes smiling face with heart eyes smiling face with heart eyes  @ My Silchar https://t.co/fmieDzVFwI,#morningvibes #instafashion #instagram #foryou juSt a cHill cLick GuYs.....smiling face with heart eyes smiling face with heart eyes smiling face with heart eyes  @ My Silchar https://t.co/fmieDzVFwI,0.0,Neutral
"@yamigautam Happy Birthday to you My world. Wishing you colourful joyful year. god bless you Yami ji red heart red heart  Enjoy lo… https://t.co/RA2tww0yRS @yamigautam Happy Birthday to you My world. Wishing you colourful joyful year. god bless you Yami ji red heart red heart  Enjoy love &amp; respect face blowing a kiss face blowing a kiss  #yamigautam #loveryamii @ Assam, India https://t.co/vneZh4D75D","@yamigautam Happy Birthday to you My world. Wishing you colourful joyful year. god bless you Yami ji red heart red heart  Enjoy lo… https://t.co/RA2tww0yRS @yamigautam Happy Birthday to you My world. Wishing you colourful joyful year. god bless you Yami ji red heart red heart  Enjoy love &amp; respect face blowing a kiss face blowing a kiss  #yamigautam #loveryamii @ Assam, India https://t.co/vneZh4D75D",0.3222222222222222,Positive
5mints after placing order #mrjinidelivery #mrjini #hukummereaakaman genie  #hukummereaaka @ Silchar https://t.co/WOV4IUMCkH,5mints after placing order #mrjinidelivery #mrjini #hukummereaakaman genie  #hukummereaaka @ Silchar https://t.co/WOV4IUMCkH,0.0,Neutral
#friendship #school #friend @ National Highway https://t.co/JkqSRPdMbR,#friendship #school #friend @ National Highway https://t.co/JkqSRPdMbR,0.0,Neutral
Just posted a photo @ My Silchar https://t.co/jwNabEi4Mo,Just posted a photo @ My Silchar https://t.co/jwNabEi4Mo,0.0,Neutral
Just posted a photo @ Bio Diversity Park Cachar https://t.co/ghTPsRAmRi,Just posted a photo @ Bio Diversity Park Cachar https://t.co/ghTPsRAmRi,0.0,Neutral
Just posted a photo @ My Silchar https://t.co/Yndfyewk8f,Just posted a photo @ My Silchar https://t.co/Yndfyewk8f,0.0,Neutral
sunrise over mountains purple heart GD morning guys black heart dizzy smiling face with smiling eyes #asifsquaddizzy  #photo #phonecamera #photography #camera #trending #silchar #assam #india @ Silcha… https://t.co/MT2jX7cBrI sunrise over mountains purple heart GD morning guys black heart dizzy smiling face with smiling eyes #asifsquaddizzy  #photo #phonecamera #photography #camera #trending #silchar #assam #india @ Silchar Railway Station https://t.co/ZmPzC0pZdz,sunrise over mountains purple heart GD morning guys black heart dizzy smiling face with smiling eyes #asifsquaddizzy  #photo #phonecamera #photography #camera #trending #silchar #assam #india @ Silcha… https://t.co/MT2jX7cBrI sunrise over mountains purple heart GD morning guys black heart dizzy smiling face with smiling eyes #asifsquaddizzy  #photo #phonecamera #photography #camera #trending #silchar #assam #india @ Silchar Railway Station https://t.co/ZmPzC0pZdz,-0.16666666666666666,Negative
"Discussions going on @Silchar for our Organization #Unilinkbiz ........ Credit goes to @Rabul Sir &amp; Myself @Aszad H… https://t.co/MbJ0TBGo3M Discussions going on @Silchar for our Organization #Unilinkbiz ........ Credit goes to @Rabul Sir &amp; Myself @Aszad H, thanks for the support #Unilinkbiz and and all #Unilinkbizteammembers heart suit heart suit heart suit  @ My Silchar https://t.co/1UKmLCYoMZ","Discussions going on @Silchar for our Organization #Unilinkbiz ........ Credit goes to @Rabul Sir &amp; Myself @Aszad H… https://t.co/MbJ0TBGo3M Discussions going on @Silchar for our Organization #Unilinkbiz ........ Credit goes to @Rabul Sir &amp; Myself @Aszad H, thanks for the support #Unilinkbiz and and all #Unilinkbizteammembers heart suit heart suit heart suit  @ My Silchar https://t.co/1UKmLCYoMZ",0.2,Positive
"black heart sign of the horns .#nofilter With BFF @tahir.barbhuiya.07 @imran     mazumder . . #asifsquaddizzy  #asif #tahir #imran @ Assam, India https://t.co/F9Ka8JX0eG",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  15 HOURS 55 MINUTES 00 SECONDSVISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0.34,Positive
&lt;3 @ My Silchar https://t.co/TgM8BMxpis,&lt;3 @ My Silchar https://t.co/TgM8BMxpis,0.0,Neutral
Just posted a photo @ My Silchar https://t.co/wYKiiW1yKc,Just posted a photo @ My Silchar https://t.co/wYKiiW1yKc,0.0,Neutral
Just posted a photo @ My Silchar https://t.co/1fmtba2GZH,Just posted a photo @ My Silchar https://t.co/1fmtba2GZH,0.0,Neutral
Just posted a photo @ My Silchar https://t.co/iRQIGpDCQ9,Just posted a photo @ My Silchar https://t.co/iRQIGpDCQ9,0.0,Neutral
Just posted a photo @ My Silchar https://t.co/lXftPJCbXg,Just posted a photo @ My Silchar https://t.co/lXftPJCbXg,0.0,Neutral
Just posted a photo @ My Silchar https://t.co/i0np2HUawG,Just posted a photo @ My Silchar https://t.co/i0np2HUawG,0.0,Neutral
smiling face with smiling eyes wilted flower ..................................... @ Indian muslim https://t.co/qIzhNofdQT,'IN' IS AN INVALID SOURCE LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,0.0,Neutral
Just posted a photo @ Walima https://t.co/VN11YCLjIh,Just posted a photo @ Walima https://t.co/VN11YCLjIh,0.0,Neutral
শীতের সন্ধে... Thanks @subhs1fit for bringing here the Kolkata vibes! @ Sanjay Karate School   Silchar https://t.co/zNJh8fX9ea,শীতের সন্ধে... Thanks @subhs1fit for bringing here the Kolkata vibes! @ Sanjay Karate School   Silchar https://t.co/zNJh8fX9ea,0.25,Positive
Just posted a photo @ Walima https://t.co/kunBjMzs04,Just posted a photo @ Walima https://t.co/kunBjMzs04,0.0,Neutral
There is nothing to lose but there is a whole world for #winning. @ Agartala Tripura https://t.co/v2QtDBbAzA,There is nothing to lose but there is a whole world for #winning. @ Agartala Tripura https://t.co/v2QtDBbAzA,0.35,Positive
@khalammashome #brother #ns200 #instaviral #instafashion #instagram #bikelife @ Neairgram PT 2 https://t.co/GRyqveQrR0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  15 HOURS 54 MINUTES 59 SECONDSVISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0.34,Positive
#instafashion #instaviral #instagram Achieved #Star #superdistributor @unilinkbusiness @ Walima https://t.co/lvU0GqS0yE,#instafashion #instaviral #instagram Achieved #Star #superdistributor @unilinkbusiness @ Walima https://t.co/lvU0GqS0yE,0.0,Neutral
@khalammashome #brother #ns200 #instaviral #instafashion #instagram #bike @ Neairgram PT 2 https://t.co/z7mbwvLxOS,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  15 HOURS 54 MINUTES 58 SECONDSVISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0.34,Positive
Serenity of an early morning in Cachar. #cachar #marjing #mayanglambam @ Cachar https://t.co/xR4Dm287mm,Serenity of an early morning in Cachar. #cachar #marjing #mayanglambam @ Cachar https://t.co/xR4Dm287mm,0.1,Positive
Just posted a photo @ Tarapur Silchar https://t.co/WaYnk1r4mh,Just posted a photo @ Tarapur Silchar https://t.co/WaYnk1r4mh,0.0,Neutral
#mother #mothercare eye hospital for my Maa's #eyedrops @ Choudhury Eye Clinic https://t.co/qLcl8WmK4D,#mother #mothercare eye hospital for my Maa's #eyedrops @ Choudhury Eye Clinic https://t.co/qLcl8WmK4D,0.0,Neutral
Just posted a photo @ Silchar https://t.co/gLscr9dusl,Just posted a photo @ Silchar https://t.co/gLscr9dusl,0.0,Neutral
"Blood and Sweat, leading to a satisfied smile. #residency #surgeonlife #thatorthodoc #orthopod #surgery #blood… https://t.co/yrGfoxT0ZO Blood and Sweat, leading to a satisfied smile. #residency #surgeonlife #thatorthodoc #orthopod #surgery #blood #sweat @ Silchar Medical College and Hospital https://t.co/pO8SaQZoZP","Blood and Sweat, leading to a satisfied smile. #residency #surgeonlife #thatorthodoc #orthopod #surgery #blood… https://t.co/yrGfoxT0ZO Blood and Sweat, leading to a satisfied smile. #residency #surgeonlife #thatorthodoc #orthopod #surgery #blood #sweat @ Silchar Medical College and Hospital https://t.co/pO8SaQZoZP",0.32,Positive
