Demojized,Captions,Latitude,Longitude,Retweet Count,Created (UTC),Full Text,Sentiment Score,Sentiment
Just posted a photo @ Chai Piyo  , What can be more exciting than a Sunday with the start of the IPL  .. Visit us and enjoy your dinner with us enjoying Mumbai Indian  Vs Chennai Super Kings  ..     For booking your seat call 7099114445 7099114446       chaipiyo  ipl2021  ipl  mumbaiindians  chennaisuperkings,26.16079205,91.78104305,0,2021-09-19 07:37:20,Just posted a photo @ Chai Piyo    What can be more exciting than a Sunday with the start of the IPL  .. Visit us and enjoy your dinner with us enjoying Mumbai Indian  Vs Chennai Super Kings  ..     For booking your seat call 7099114445 7099114446       chaipiyo  ipl2021  ipl  mumbaiindians  chennaisuperkings,0.406666666666667,Positive
"One like for  share

Subscribe now @ Gauhati Commerce College  ", One like for  share https   youtube.com channel UCgIa80hFuIpvUNInw7DCFJw Subscribe now,26.16194,91.78108,0,2021-09-19 09:55:35,"One like for  share

Subscribe now @ Gauhati Commerce College    One like for  share https   youtube.com channel UCgIa80hFuIpvUNInw7DCFJw Subscribe now",0,Neutral
Pre Curfew drinking session..! @ Freemason's Brew Works  ,,26.15461918,91.78085676,0,2021-09-19 02:08:59,Pre Curfew drinking session..! @ Freemason's Brew Works   ,0,Neutral
Tension olpo beshi hoise @ Ambari Tiniali  ,,26.15918,91.7375,0,2021-09-19 12:08:50,Tension olpo beshi hoise @ Ambari Tiniali,0,Neutral
Just posted a photo @ The RAW GYM  , Destiny is a product of choice. What you determine for your life is what you have..... . . . . . . .  desiboy  desi  indianmen  indianbodybuilder  instagram  indianhunk  malemodel  desiboys  indianmalemodel  love  india  follow  desimard  photography  indian  indiangaycouple  desigaydesires  desimale  Instafit   indianmalemodels   hotmen  menofindia  indianbodybuilding   bhfyp,26.1514318,91.79243823,0,2021-09-18 18:42:13,Just posted a photo @ The RAW GYM    Destiny is a product of choice. What you determine for your life is what you have..... . . . . . . .  desiboy  desi  indianmen  indianbodybuilder  instagram  indianhunk  malemodel  desiboys  indianmalemodel  love  india  follow  desimard  photography  indian  indiangaycouple  desigaydesires  desimale  Instafit   indianmalemodels   hotmen  menofindia  indianbodybuilding   bhfyp,0.134615384615385,Positive
"Discover hotels around Guwahati, India from 1 EUR per night:   ",,26.120599,91.785884,0,2021-09-19 10:04:29,"Discover hotels around Guwahati, India from 1 EUR per night:    ",0,Neutral
New landmark created! Discover interesting places around:   ,,26.120599,91.785884,0,2021-09-19 10:04:29,New landmark created! Discover interesting places around:    ,0.335227272727273,Positive
"Elegance is good taste, plus a dash of daring. sparkles dizzy sun 

#makeup #photography #exlore #fyp #tribalmakeup #whiteliner…  Elegance is good taste, plus a dash of daring. sparkles dizzy sun 

#makeup #photography #exlore #fyp #tribalmakeup #whiteliner #croptop #looksthatkill #instapic #fitnessmodel #layerednecklaces @ Guwahati City  ", Elegance is good taste  plus a dash of daring.        makeup  photography  exlore  fyp  tribalmakeup  whiteliner  croptop  looksthatkill  instapic  fitnessmodel  layerednecklaces,26.13635895,91.78461313,0,2021-09-19 12:13:03,"Elegance is good taste, plus a dash of daring. sparkles dizzy sun 

#makeup #photography #exlore #fyp #tribalmakeup #whiteliner…  Elegance is good taste, plus a dash of daring. sparkles dizzy sun 

#makeup #photography #exlore #fyp #tribalmakeup #whiteliner #croptop #looksthatkill #instapic #fitnessmodel #layerednecklaces @ Guwahati City    Elegance is good taste  plus a dash of daring.        makeup  photography  exlore  fyp  tribalmakeup  whiteliner  croptop  looksthatkill  instapic  fitnessmodel  layerednecklaces",0.7,Very Positive
"Nancy II Guwahati, Assam II September bollywood contest @ Guwahati, Assam (North East)  ", Nancy II Guwahati  Assam II September bollywood contest,26.17838763,91.75227602,0,2021-09-19 15:47:32,"Nancy II Guwahati, Assam II September bollywood contest @ Guwahati, Assam (North East)    Nancy II Guwahati  Assam II September bollywood contest",0,Neutral
Just posted a video @ Assam  , Late night from the hills of North East India  Something melodic.  Audio  Direct Recording  Background Music  Backing Track  Guitar   Fender American Strat SSS  Tone  Custom Tone  Logic Pro  Software Used   Logic Pro. Video   webcam    Both recorded separately   later Audio   Video merged together.  ,26.14,91.77,0,2021-09-19 20:38:08,Just posted a video @ Assam    Late night from the hills of North East India  Something melodic.  Audio  Direct Recording  Background Music  Backing Track  Guitar   Fender American Strat SSS  Tone  Custom Tone  Logic Pro  Software Used   Logic Pro. Video   webcam    Both recorded separately   later Audio   Video merged together.  ,-0.05,Negative
"আজকের নতুন জীবনে সব কিছুই নতুন
পুরোনো সব স্মৃতি ভুলে গেছি
খুঁজে পেয়েছি নতুন করে নিজেকে @ Guwahati City  ",                                                                                       ,26.13635895,91.78461313,0,2021-09-19 15:28:42,"Everything is new in today's new life
Forget all the old memories
I found myself anew @ Guwahati City",0.124242424242424,Positive
"#3BHK #Apartment in Ashok Palace #Flat #ForRent #Survey #Guwahati #Residential #Property
 ",,26.1384338,91.7848624,0,2021-09-20 06:37:53,"#3BHK #Apartment in Ashok Palace #Flat #ForRent #Survey #Guwahati #Residential #Property
  ",-0.025,Negative
সপোন আৰু আপোন কেতিয়া হেৰাই যায় ধৰিবই নোৱাৰিsmiling face with sunglasses  @ Guwahati Assam India  ,                                             ,26.10452,91.5913099,0,2021-09-19 18:55:33,"I'm not sure if I'm going to be able to do that, but I'm sure I'm going to be able to do that.",0.3125,Positive
দুখৰ সময়ে এদিন বাগৰ সলাই সুদিনৰ দুৱাৰ মুকলি কৰিব smiling face with sunglasses  @ Dipor Beel  ,                                                   ,26.15068,91.64818,0,2021-09-19 18:55:24,This is the first time I've ever seen a squirrel snuggle up to a squirrel's head and snuggle up to a squirrel's head.,0.25,Positive
"সাহস আছে বুকুতে, সপোন আছে চকুতে, আকাশ চুবৰে মন smiling face with sunglasses  @ Narakasur Hill  ",                                                 ,26.15812927,91.77258113,0,2021-09-19 18:55:40,"I'm not sure if this is the case, but I'm not sure if this is the case, but I'm not sure if this is the case, but I'm not sure if this is the case, but I'm not sure if this is the case.",-0.25,Negative
"#Apartment in Anupam Enclave, #Guwahati #3BHK #Flat #ForSale #LalGanesh #Residential #Property
 ",,26.14240561,91.7413035,0,2021-09-20 06:31:30,"#Apartment in Anupam Enclave, #Guwahati #3BHK #Flat #ForSale #LalGanesh #Residential #Property
  ",-0.025,Negative
"সাৰ পোৱা সময়ে, দুচকুতে লৈ ফুৰে অফুৰন্ত সপোনsmiling face with sunglasses  @ Belli View Hill Top, River Brahmaputra, Guwahati, Assam  ",                                             ,26.1414266,91.7755571,0,2021-09-19 18:54:08,"সাৰ পোৱা সময়ে, দুচকুতে লৈ ফুৰে অফুৰন্ত সপোনsmiling face with sunglasses  @ Belli View Hill Top, River Brahmaputra, Guwahati, Assam                                                ",0.5,Positive
Just posted a video @ Depor Beel  , ,26.10452,91.5911,0,2021-09-19 18:55:07,Just posted a video @ Depor Beel,0,Neutral
Just posted a photo @ The RAW GYM  , 30 Days of Dedicatedly invested Time with correct scientific Training can bring in Great Results. . Hats off to Bonkim Saikia for his Dedicated and Disciplined Mindset. . Your best version Is About to Begin  . . . . .  bodytransformation  fitness  bodybuilding  fitnessmotivation  gym  workout  motivation  weightloss  fit  gymmotivation  bodygoals  healthylifestyle  fitfam  body  gymlife  weightlossjourney  muscle  fitnessjourney  training  transformation  personaltrainer  bodypositive  fitnessmodel  fitnessaddict  health  fitnessgirl  bodybuilder  fitnesslifestyle  instafit  bhfyp,26.1514318,91.79243823,0,2021-09-20 05:03:50,Just posted a photo @ The RAW GYM    30 Days of Dedicatedly invested Time with correct scientific Training can bring in Great Results. . Hats off to Bonkim Saikia for his Dedicated and Disciplined Mindset. . Your best version Is About to Begin  . . . . .  bodytransformation  fitness  bodybuilding  fitnessmotivation  gym  workout  motivation  weightloss  fit  gymmotivation  bodygoals  healthylifestyle  fitfam  body  gymlife  weightlossjourney  muscle  fitnessjourney  training  transformation  personaltrainer  bodypositive  fitnessmodel  fitnessaddict  health  fitnessgirl  bodybuilder  fitnesslifestyle  instafit  bhfyp,0.492307692307692,Positive
Just posted a photo @ Chai Piyo  , Always save room for dessert  ..  Fried ice cream is something you need in this hot weather and get your mood lifted  ..   Visit  chaipiyo cafe lounge    For bookings visit us or call  7099114445 7099114446  dessert  desserts  dessertsofinstagram  chaipiyo  hazel  hazelnutIceTea  icetea  cafe  lounge,26.16079205,91.78104305,0,2021-09-20 09:52:44,Just posted a photo @ Chai Piyo    Always save room for dessert  ..  Fried ice cream is something you need in this hot weather and get your mood lifted  ..   Visit  chaipiyo cafe lounge    For bookings visit us or call  7099114445 7099114446  dessert  desserts  dessertsofinstagram  chaipiyo  hazel  hazelnutIceTea  icetea  cafe  lounge,0.25,Positive
"#Apartment in Sattyam #3BHK #Flat #ForSale #Noonmati #Guwahati #Residential #Property
 ",,26.198958,91.800114,0,2021-09-20 10:48:10,"#Apartment in Sattyam #3BHK #Flat #ForSale #Noonmati #Guwahati #Residential #Property
  ",-0.025,Negative
"Just posted a photo @ Kamakhya Temple, Guwahati, Assam  ",    91 9784941619 Call for Vashikaran   Black Magic Services    Get My Ex Love Back  91 9784941619    Black Magic to Kill Enemy   Black Magic to Destroy Enemy   Black Magic Revenge Spells   Love Vashikaran Expert   Vashikaran Mantra For Love   Tona Totke For Control Husband   How to get back my Boyfriend after Breakup  How to get my Ex Girlfriend Back by Vashikaran       91 9784941619     91 9784941619                                                                                                                                                                                                                                                                 91 9784941619    Famous In All World    INDIA    UK        91 9784941619 Just one call forget your all problems and change your life   Get your love back  Vashikaran Husband wife disput Intercast love marriage  Black magic   business problem and etc. World famous astrologer One call change your life N R I SPECIALIST     91 9784941619  love  fashion  latepost  bollywood  forever  goals  friendship  bestfriends  catsofinstagram  explorepage  bff  bf  gf  baby  tarot  motivationalquotes  bae  instadaily  feeling  momlife  actress  instagood  couple  trendingreels  explorepage  photo  photography  horoscope  astrology  photoshoot,26.150686,91.730339,0,2021-09-20 12:27:24,"Just posted a photo @ Kamakhya Temple, Guwahati, Assam       91 9784941619 Call for Vashikaran   Black Magic Services    Get My Ex Love Back  91 9784941619    Black Magic to Kill Enemy   Black Magic to Destroy Enemy   Black Magic Revenge Spells   Love Vashikaran Expert   Vashikaran Mantra For Love   Tona Totke For Control Husband   How to get back my Boyfriend after Breakup  How to get my Ex Girlfriend Back by Vashikaran       91 9784941619     91 9784941619                                                                                                                                                                                                                                                                 91 9784941619    Famous In All World    INDIA    UK        91 9784941619 Just one call forget your all problems and change your life   Get your love back  Vashikaran Husband wife disput Intercast love marriage  Black magic   business problem and etc. World famous astrologer One call change your life N R I SPECIALIST     91 9784941619  love  fashion  latepost  bollywood  forever  goals  friendship  bestfriends  catsofinstagram  explorepage  bff  bf  gf  baby  tarot  motivationalquotes  bae  instadaily  feeling  momlife  actress  instagood  couple  trendingreels  explorepage  photo  photography  horoscope  astrology  photoshoot",0.23768115942029,Positive
Just posted a photo @ Gauhati  ,  GuwahatiToKanpur    Shifting your Home or Office is a big task when you have to Pack and unpack all valuable goods on your own  But what if you get professional assistance in Packing  Loading  Transporting  Unloading and unpacking your commodities      Choose us for Hassle free Relocation Service  We believe in Quality at Affordable Rates Safety with Security.      Our testimonials speaks about our customer satisfaction  We love our work enough to make you fall in love with our service.      We are the best Packers and Movers in Guwahati as said by our clients  it s only because of our professional packing Team and good Quality Materials.     Hurry Upto 50  Discount on interstate Relocation Call whatsApp us   8876414773  8638099668 and get your FREE Quotation Today.     Find us on    Google   https   g.page kiranshree movers and packers gm   Website   https   www.kiranshreemovers.com   Twitter   https   twitter.com Kiranshreemover s 09  YouTube   https   youtu.be lXeVIZ6njro  Instagram   https   instagram.com kiranshreemovers igshid sxs7se0hsu7x   RelocationSpecialist  PackersAndMoversinGuwahati   KiranshreeMoversAndPackers  StaySafeStayHealthy  RelocatingTrust  RelocationSpecialist   DoortoDoorService  PackersAndMoversinAssam  PackersAndMoversinMeghalaya  PackersAndMoversinTripura  PackersAndMoversinMizoram  PackersAndMoversinManipur  PackersAndMoversinNagaland  PackersAndMoversinArunachalPradesh  BestPackersInNortheast,26.150686,91.730339,0,2021-09-20 09:38:50,Just posted a photo @ Gauhati     GuwahatiToKanpur    Shifting your Home or Office is a big task when you have to Pack and unpack all valuable goods on your own  But what if you get professional assistance in Packing  Loading  Transporting  Unloading and unpacking your commodities      Choose us for Hassle free Relocation Service  We believe in Quality at Affordable Rates Safety with Security.      Our testimonials speaks about our customer satisfaction  We love our work enough to make you fall in love with our service.      We are the best Packers and Movers in Guwahati as said by our clients  it s only because of our professional packing Team and good Quality Materials.     Hurry Upto 50  Discount on interstate Relocation Call whatsApp us   8876414773  8638099668 and get your FREE Quotation Today.     Find us on    Google   https   g.page kiranshree movers and packers gm   Website   https   www.kiranshreemovers.com   Twitter   https   twitter.com Kiranshreemover s 09  YouTube   https   youtu.be lXeVIZ6njro  Instagram   https   instagram.com kiranshreemovers igshid sxs7se0hsu7x   RelocationSpecialist  PackersAndMoversinGuwahati   KiranshreeMoversAndPackers  StaySafeStayHealthy  RelocatingTrust  RelocationSpecialist   DoortoDoorService  PackersAndMoversinAssam  PackersAndMoversinMeghalaya  PackersAndMoversinTripura  PackersAndMoversinMizoram  PackersAndMoversinManipur  PackersAndMoversinNagaland  PackersAndMoversinArunachalPradesh  BestPackersInNortheast,0.358333333333333,Positive
"#Apartment in NIHAR NEER, #Guwahati #3BHK #Flat #ForRent #R.G.BaruahRoad #Residential #Property
 ",,26.1652,91.77988,0,2021-09-20 10:39:20,"#Apartment in NIHAR NEER, #Guwahati #3BHK #Flat #ForRent #R.G.BaruahRoad #Residential #Property
  ",-0.025,Negative
Just posted a photo @ Gauhati  , ,26.150686,91.730339,0,2021-09-20 17:07:29,Just posted a photo @ Gauhati    ,0,Neutral
"Donning that innocence, through my camera lenses. beaming face with smiling eyes 
Quick selfie in @mostafizur2929 new ""Maruti Ignis"" todaysmiling face with smiling eyes . @ Gu…  Donning that innocence, through my camera lenses. beaming face with smiling eyes 
Quick selfie in @mostafizur2929 new ""Maruti Ignis"" todaysmiling face with smiling eyes . @ Guwahati, Assam  ", Donning that innocence  through my camera lenses.   Quick selfie in  mostafizur2929 new  Maruti Ignis  today .,26.1217733,91.806216,0,2021-09-21 17:39:52,"Donning that innocence, through my camera lenses. beaming face with smiling eyes 
Quick selfie in @mostafizur2929 new ""Maruti Ignis"" todaysmiling face with smiling eyes . @ Gu…  Donning that innocence, through my camera lenses. beaming face with smiling eyes 
Quick selfie in @mostafizur2929 new ""Maruti Ignis"" todaysmiling face with smiling eyes . @ Guwahati, Assam    Donning that innocence  through my camera lenses.   Quick selfie in  mostafizur2929 new  Maruti Ignis  today .",0.234848484848485,Positive
"Commercial space rent 35k rent @ Zoo Tiniali, Guwahati  ", Commercial space rent 35k rent,26.17428563,91.77638902,0,2021-09-21 17:44:46,"Commercial space rent 35k rent @ Zoo Tiniali, Guwahati    Commercial space rent 35k rent",0,Neutral
Just posted a photo @ Guwahati Assam India  , NEOS is stocking these beautiful   traditional mythological masks. A perfect masterpiece to adorn your wall. Follow  neosonline.shop for all latest updates   offers    .  neosonlineshop  mask  onlinebusiness  onlineshopping  onlinestore  onlineshop  onlineboutique  majulimask  handmademask  handmadedecor  decor  homedecor  homedecoration  wallartpiece  hanuman  hanumanmask  jatayu  krishnamask  krishna  jatayumask,26.10452,91.5913099,0,2021-09-21 18:04:17,Just posted a photo @ Guwahati Assam India    NEOS is stocking these beautiful   traditional mythological masks. A perfect masterpiece to adorn your wall. Follow  neosonline.shop for all latest updates   offers    .  neosonlineshop  mask  onlinebusiness  onlineshopping  onlinestore  onlineshop  onlineboutique  majulimask  handmademask  handmadedecor  decor  homedecor  homedecoration  wallartpiece  hanuman  hanumanmask  jatayu  krishnamask  krishna  jatayumask,0.49,Positive
Just posted a photo @ Guwahati Assam India  , NEOS is stocking these beautiful   traditional mythological masks. A perfect masterpiece to adorn your wall. Follow  neosonline.shop for all latest updates   offers    .  neosonlineshop  mask  onlinebusiness  onlineshopping  onlinestore  onlineshop  onlineboutique  majulimask  handmademask  handmadedecor  decor  homedecor  homedecoration  wallartpiece  hanuman  hanumanmask  jatayu  krishnamask  krishna  jatayumask,26.10452,91.5913099,0,2021-09-21 18:08:03,Just posted a photo @ Guwahati Assam India    NEOS is stocking these beautiful   traditional mythological masks. A perfect masterpiece to adorn your wall. Follow  neosonline.shop for all latest updates   offers    .  neosonlineshop  mask  onlinebusiness  onlineshopping  onlinestore  onlineshop  onlineboutique  majulimask  handmademask  handmadedecor  decor  homedecor  homedecoration  wallartpiece  hanuman  hanumanmask  jatayu  krishnamask  krishna  jatayumask,0.49,Positive
"Ready to move #Apartment in P Home, #Guwahati #4BHK #Flat #ForSale #Dispur #Residential #Property
 ",,26.14267919,91.79775236,0,2021-09-21 05:01:52,"Ready to move #Apartment in P Home, #Guwahati #4BHK #Flat #ForSale #Dispur #Residential #Property
  ",0.0875,Positive
"Just posted a photo @ North Gauhati, Assam, India  ",                                    Indian top company                   Name   Anamika ghatowar Contact   60011 65439     Negocia global Pvt ltd   join                                             1     Free registration    2    2 legs generation plan    3  12 Types income   4    Power side BV carry forward to next month s  5    company product      25  to 50  BV          6    company lunching       50  Product                 7    91  income distribution        8    I d activetion           fix BV condition                                    I d activetion        9    Monthly maintain           fix BV condition                                            10        income           payment                Googlepay and phonepay                     11    low price product and best quality    12    Negocia   Car fund and house fund                 3 months or 6 months  Side maintain                 13    Negocia world fast company     50 000BV fast months match      fast months      car fund                14    Monthly Bonanza        15    Reward         Mobaile   leptop   Scotty   Bullet 350   Alto car   Audi   jaguar xf           Website  http   www.negocia.in     Negocia kio kore    Why Negocia is best platform    Link  https   youtu.be 4R55i7I8XZ8    Business plan video link  https   youtu.be Duwhf JH1qA    CMD sir explain Why start negocia    https   youtu.be 8DjsxdFa l8  Join with Negocia Nirvana Team ke sath  Free registration    JOIN Link         Free registration link    http   negocia.in UserPages UserPreRegistration.aspx Intro 98328767    Sponsor I d    98328767  Choose Left side Power legs     SMS to Click    http   wa.me 7086609744   All India Promoter       ,26.1833,91.7167,0,2021-09-21 05:10:18,"Just posted a photo @ North Gauhati, Assam, India                                       Indian top company                   Name   Anamika ghatowar Contact   60011 65439     Negocia global Pvt ltd   join                                             1     Free registration    2    2 legs generation plan    3  12 Types income   4    Power side BV carry forward to next month s  5    company product      25  to 50  BV          6    company lunching       50  Product                 7    91  income distribution        8    I d activetion           fix BV condition                                    I d activetion        9    Monthly maintain           fix BV condition                                            10        income           payment                Googlepay and phonepay                     11    low price product and best quality    12    Negocia   Car fund and house fund                 3 months or 6 months  Side maintain                 13    Negocia world fast company     50 000BV fast months match      fast months      car fund                14    Monthly Bonanza        15    Reward         Mobaile   leptop   Scotty   Bullet 350   Alto car   Audi   jaguar xf           Website  http   www.negocia.in     Negocia kio kore    Why Negocia is best platform    Link  https   youtu.be 4R55i7I8XZ8    Business plan video link  https   youtu.be Duwhf JH1qA    CMD sir explain Why start negocia    https   youtu.be 8DjsxdFa l8  Join with Negocia Nirvana Team ke sath  Free registration    JOIN Link         Free registration link    http   negocia.in UserPages UserPreRegistration.aspx Intro 98328767    Sponsor I d    98328767  Choose Left side Power legs     SMS to Click    http   wa.me 7086609744   All India Promoter       ",0.330769230769231,Positive
"Addmission Open for 2021 2022  

Take the right decision, by choosing us to finesse your goal. 

Hurry!! Only a few…  Addmission Open for 2021 2022  

Take the right decision, by choosing us to finesse your goal. 

Hurry!! Only a few seats left. @ Gyan Bikash Academy Guwahati  ", Addmission Open for 2021 2022    Take the right decision  by choosing us to finesse your goal.   Hurry   Only a few seats left.,26.1712905,91.77811207,0,2021-09-21 04:45:56,"Addmission Open for 2021 2022  

Take the right decision, by choosing us to finesse your goal. 

Hurry!! Only a few…  Addmission Open for 2021 2022  

Take the right decision, by choosing us to finesse your goal. 

Hurry!! Only a few seats left. @ Gyan Bikash Academy Guwahati    Addmission Open for 2021 2022    Take the right decision  by choosing us to finesse your goal.   Hurry   Only a few seats left.",0.05989010989011,Positive
